CDRenewal,CDNumber,MaturingTerm,MaturingTermGrouping,MaturingBalance,TimeRenewed,CDAge,BA_STATE,CustomerTenure,LifeStageGroupCat,LifeStageGroupSubcat,PsycleCodeDescrip,TRAN_COUNT,TRAN_BALANCE,AdditCDCount,LOAN_COUNT,LOAN_BALANCE,POB_INT,MB_INT,IVR_INT,FF,CDAdvertisingSpend,BankAdvertisingSpend,RateSpread
0,MOCKACCT000000000002,10,7-15 months,50468.92,0,0,TX,0,Unassigned,Unassigned,Unassigned,0,0,0,0,0,0,0,0,0.66,0,0,1.09338
1,MOCKACCT000000000003,10,7-15 months,40000,0,0,TX,1,Younger Years,Y2 Metro Mainstream,Credit Country,0,0,1,0,0,0,0,0,0.66,0,0,1.09338
1,MOCKACCT000000000004,18,16-24 months,31275.1,0,1,FL,3,Younger Years,Y1 Upwardly Mobile,"Work Hard, Play Hard",0,0,1,0,0,0,0,0,0.66,0,0,1.4921
1,MOCKACCT000000000005,10,7-15 months,171594.32,0,0,TX,0,Mature Years,M3 Upscale Empty Nests,Booming Nests,0,0,1,0,0,1,0,0,0.66,0,0,1.09338
1,MOCKACCT000000000006,18,16-24 months,50000,0,1,FL,2,Family Life,F2 Upscale Earners,Value Seekers,0,0,3,0,0,0,0,0,0.66,0,0,1.4921
0,MOCKACCT000000000007,10,7-15 months,239746.26,0,0,FL,3,Mature Years,M1 Financial Elite,Business Class,1,67373.84,0,0,0,1,0,0,0.6,0,0,1.1929
0,MOCKACCT000000000008,10,7-15 months,297772.86,0,0,FL,0,Unassigned,Unassigned,Unassigned,0,0,0,0,0,0,0,0,0.6,0,0,1.1929
0,MOCKACCT000000000009,10,7-15 months,239746.26,0,0,FL,3,Mature Years,M1 Financial Elite,Business Class,0,0,1,0,0,1,0,0,0.6,0,0,1.1929
0,MOCKACCT000000000010,10,7-15 months,10093.78,0,0,TX,0,Mature Years,M1 Financial Elite,Business Class,1,151052.17,0,0,0,1,0,0,0.6,0,0,1.09338
0,MOCKACCT000000000011,10,7-15 months,10093.78,0,0,TX,0,Mature Years,M1 Financial Elite,Business Class,0,0,1,0,0,0,0,0,0.6,0,0,1.09338
0,MOCKACCT000000000012,10,7-15 months,12112.54,0,0,TX,1,Mature Years,M2 Wealthy Achievers,IRA Enthusiast,0,0,2,0,0,0,0,0,0.6,0,0,1.09338
0,MOCKACCT000000000013,10,7-15 months,103166.04,0,0,FL,10,Family Life,F1 Flourishing Families,Leveraged Life,0,0,3,0,0,0,0,0,0.6,0,0,1.1929
0,MOCKACCT000000000014,10,7-15 months,100937.08,0,0,FL,9,Unassigned,Unassigned,Unassigned,0,0,0,0,0,0,0,0,0.6,0,0,1.1929
1,MOCKACCT000000000015,1,<= 6 months,1500,158,13,TX,18,Younger Years,Y3 Fiscal Fledglings,Counting Coins,2,24667.65,0,0,0,1,0,1,0.6,0,0,0.197666667
1,MOCKACCT000000000016,2,<= 6 months,14557.66,80,13,FL,13,Unassigned,Unassigned,Unassigned,0,0,0,0,0,0,0,1,0.6,0,0,0.1965
1,MOCKACCT000000000017,3,<= 6 months,22022.36,96,16,TX,17,Mature Years,M2 Wealthy Achievers,Leasing Luxury,1,3554.8,0,0,0,1,0,1,0.6,0,0,0.197666667
1,MOCKACCT000000000018,6,<= 6 months,15282.66,17,9,FL,14,Younger Years,Y1 Upwardly Mobile,"Work Hard, Play Hard",1,8639.08,0,0,0,1,1,1,0.6,0,0,0.1965
1,MOCKACCT000000000019,10,7-15 months,50468.92,0,0,FL,21,Mature Years,M3 Upscale Empty Nests,Comfortably Retired,1,10414.57,1,0,0,0,0,1,0.6,0,0,1.1929
1,MOCKACCT000000000020,18,16-24 months,134224.66,0,1,TX,1,Mature Years,M1 Financial Elite,Business Class,0,0,1,0,0,0,0,0,0.6,0,0,1.2955
1,MOCKACCT000000000021,18,16-24 months,10178.91,0,1,FL,1,Mature Years,M1 Financial Elite,Golden Agers,0,0,4,0,0,0,0,0,0.6,0,0,1.4921
1,MOCKACCT000000000022,18,16-24 months,10178.84,0,1,FL,1,Mature Years,M1 Financial Elite,Golden Agers,0,0,4,0,0,0,0,0,0.6,0,0,1.4921
1,MOCKACCT000000000023,10,7-15 months,141312.97,0,0,FL,0,Mature Years,M3 Upscale Empty Nests,Comfortably Retired,0,0,1,0,0,0,0,0,0.6,0,0,1.1929
1,MOCKACCT000000000024,10,7-15 months,220500.19,0,0,FL,10,Unassigned,Unassigned,Unassigned,0,0,5,0,0,0,0,0,0.6,0,0,1.1929
1,MOCKACCT000000000025,10,7-15 months,141312.97,0,0,FL,0,Mature Years,M3 Upscale Empty Nests,Comfortably Retired,0,0,1,0,0,0,0,0,0.6,0,0,1.1929
1,MOCKACCT000000000026,10,7-15 months,88842.73,0,0,FL,0,Mature Years,M1 Financial Elite,Power Couples,0,0,0,0,0,0,0,0,0.6,0,0,1.1929
1,MOCKACCT000000000027,10,7-15 months,10160.52,0,0,TX,0,Unassigned,Unassigned,Unassigned,0,0,0,0,0,0,0,0,0.6,0,0,1.09338
